event_id,event_name,event_type,region,start_date,end_date,narrative
EVT007,Spring Content Gap,content_gap,GLOBAL_WEST,2025-03-20,2025-04-30,Long interval without major story or end-game content.
EVT008,PvE Growth Subscription Launch,bm_launch,KR,2025-05-15,2025-06-14,New subscription adds daily currency and modest PvE progression benefits.
EVT008,PvE Growth Subscription Launch,bm_launch,JP,2025-05-15,2025-06-14,New subscription adds daily currency and modest PvE progression benefits.
EVT008,PvE Growth Subscription Launch,bm_launch,GLOBAL_WEST,2025-05-15,2025-06-14,New subscription adds daily currency and modest PvE progression benefits.
EVT009,Astra Heroes Crossover,collaboration,KR,2025-07-09,2025-07-30,Well-known but poor-fit collaboration; acquisition rises while retention weakens.
EVT009,Astra Heroes Crossover,collaboration,JP,2025-07-09,2025-07-30,Well-known but poor-fit collaboration; acquisition rises while retention weakens.
EVT009,Astra Heroes Crossover,collaboration,GLOBAL_WEST,2025-07-09,2025-07-30,Well-known but poor-fit collaboration; acquisition rises while retention weakens.
EVT010,Data Center Outage,incident,KR,2025-08-12,2025-08-12,A power-chain failure makes the service unavailable for the full calendar day.
EVT010,Data Center Outage,incident,JP,2025-08-12,2025-08-12,A power-chain failure makes the service unavailable for the full calendar day.
EVT010,Data Center Outage,incident,GLOBAL_WEST,2025-08-12,2025-08-12,A power-chain failure makes the service unavailable for the full calendar day.
EVT020,Partial Service Restoration,incident_response,KR,2025-08-13,2025-08-13,"Service returns at noon after 36 total hours offline, with continuing instability."
EVT020,Partial Service Restoration,incident_response,JP,2025-08-13,2025-08-13,"Service returns at noon after 36 total hours offline, with continuing instability."
EVT020,Partial Service Restoration,incident_response,GLOBAL_WEST,2025-08-13,2025-08-13,"Service returns at noon after 36 total hours offline, with continuing instability."
EVT011,Delayed Initial Response,incident_response,KR,2025-08-14,2025-08-16,Repeated extensions and delayed communication worsen player sentiment.
EVT011,Delayed Initial Response,incident_response,JP,2025-08-14,2025-08-16,Repeated extensions and delayed communication worsen player sentiment.
EVT011,Delayed Initial Response,incident_response,GLOBAL_WEST,2025-08-14,2025-08-16,Repeated extensions and delayed communication worsen player sentiment.
EVT012,Extraordinary Compensation,recovery,KR,2025-08-17,2025-08-23,Apology grants a selector including awakened and previously limited characters.
EVT012,Extraordinary Compensation,recovery,JP,2025-08-17,2025-08-23,Apology grants a selector including awakened and previously limited characters.
EVT012,Extraordinary Compensation,recovery,GLOBAL_WEST,2025-08-17,2025-08-23,Apology grants a selector including awakened and previously limited characters.
EVT013,Postmortem and Trust Recovery,recovery,KR,2025-08-24,2025-09-20,"A follow-up notice explains root cause, safeguards, monitoring, and recurrence prevention."
EVT013,Postmortem and Trust Recovery,recovery,JP,2025-08-24,2025-09-20,"A follow-up notice explains root cause, safeguards, monitoring, and recurrence prevention."
EVT013,Postmortem and Trust Recovery,recovery,GLOBAL_WEST,2025-08-24,2025-09-20,"A follow-up notice explains root cause, safeguards, monitoring, and recurrence prevention."
EVT014,Regional Autumn Festival,seasonal,KR,2025-10-01,2025-10-14,Localized autumn celebration and return missions.
EVT014,Regional Autumn Festival,seasonal,JP,2025-10-01,2025-10-14,Localized autumn celebration and return missions.
EVT014,Regional Autumn Festival,seasonal,GLOBAL_WEST,2025-10-01,2025-10-14,Localized autumn celebration and return missions.
EVT015,Christmas Festival 2025,seasonal,KR,2025-12-17,2025-12-31,Shared holiday story and seasonal pass.
EVT015,Christmas Festival 2025,seasonal,JP,2025-12-17,2025-12-31,Shared holiday story and seasonal pass.
EVT015,Christmas Festival 2025,seasonal,GLOBAL_WEST,2025-12-17,2025-12-31,Shared holiday story and seasonal pass.
